Make,Type,Year,Origin,Color,Options,Engine_Size,Fuel_Type,Gear_Type,Mileage,Region,Price
Chrysler,C300,2018,Saudi,Black,Full,5.7,Gas,Automatic,103000.0,Riyadh,114000.0
Nissan,Sunny,2019,Saudi,Silver,Standard,1.5,Gas,Automatic,72418.0,Riyadh,27500.0
Hyundai,Elantra,2019,Saudi,Grey,Standard,1.6,Gas,Automatic,114154.0,Riyadh,43000.0
Hyundai,Elantra,2019,Saudi,Silver,Semi Full,2.0,Gas,Automatic,41912.0,Riyadh,59500.0
Honda,Accord,2018,Saudi,Navy,Full,1.5,Gas,Automatic,39000.0,Riyadh,72000.0
Toyota,Land Cruiser,2011,Saudi,White,Semi Full,4.5,Gas,Automatic,183000.0,Riyadh,92000.0
Chevrolet,Impala,2019,Saudi,Black,Standard,3.6,Gas,Automatic,70000.0,Riyadh,80000.0
Toyota,Yaris,2018,Saudi,White,Standard,1.5,Gas,Automatic,131000.0,Jeddah,32000.0
Toyota,Camry,2017,Gulf Arabic,White,Standard,2.5,Gas,Automatic,107000.0,Dammam,50000.0
Nissan,Patrol,2014,Saudi,White,Full,5.6,Gas,Automatic,106000.0,Dammam,135000.0
Chevrolet,Tahoe,2018,Other,Grey,Semi Full,5.3,Gas,Automatic,176140.0,Riyadh,153000.0
Hyundai,Accent,2019,Saudi,White,Standard,1.4,Gas,Automatic,83000.0,Jeddah,37000.0
Toyota,Corolla,2018,Saudi,White,Standard,1.6,Gas,Automatic,7702.0,Dammam,45000.0
MINI,Copper,2016,Gulf Arabic,Grey,Full,2.0,Gas,Automatic,110000.0,Dammam,83000.0
Nissan,Sunny,2017,Saudi,White,Standard,1.5,Gas,Automatic,58000.0,Al-Medina,24500.0
Nissan,Patrol,2016,Saudi,White,Standard,4.8,Gas,Automatic,93000.0,Jeddah,83000.0
Toyota,Prado,2021,Saudi,White,Semi Full,4.0,Gas,Automatic,3000.0,Dammam,174000.0
Hyundai,Elantra,2018,Other,White,Standard,1.6,Diesel,Automatic,83000.0,Riyadh,50000.0
Honda,Civic,2017,Saudi,Black,Standard,1.5,Gas,Automatic,200000.0,Jeddah,38000.0
Toyota,Furniture,2021,Saudi,White,Semi Full,2.4,Diesel,Automatic,29000.0,Qassim,145000.0
Lexus,RX,2019,Saudi,Bronze,Full,3.5,Gas,Automatic,129000.0,Jeddah,178000.0
GMC,Yukon,2017,Saudi,Silver,Standard,5.3,Gas,Automatic,137317.0,Dammam,130000.0
Nissan,Bus Urvan,2020,Saudi,White,Standard,3.5,Gas,Manual,27000.0,Riyadh,68000.0
Toyota,Aurion,2015,Saudi,White,Semi Full,2.6,Gas,Automatic,300.0,Jazan,50000.0
Nissan,Sunny,2019,Saudi,White,Standard,1.5,Gas,Automatic,112963.0,Riyadh,27500.0
Hyundai,Elantra,2019,Saudi,Silver,Standard,1.6,Gas,Automatic,108650.0,Riyadh,43000.0
Chevrolet,Malibu,2013,Saudi,Black,Semi Full,3.0,Gas,Automatic,122455.0,Riyadh,36000.0
Nissan,Sunny,2019,Saudi,Silver,Standard,1.5,Gas,Automatic,93762.0,Riyadh,26800.0
Toyota,Rav4,2020,Gulf Arabic,White,Full,2.5,Gas,Automatic,15000.0,Dammam,111000.0
Mazda,CX9,2019,Saudi,Another Color,Full,2.5,Gas,Automatic,89000.0,Riyadh,99000.0
Ford,Expedition,2013,Saudi,Black,Standard,5.4,Gas,Automatic,348000.0,Riyadh,50000.0
GMC,Yukon,2008,Saudi,Golden,Full,5.3,Gas,Automatic,286000.0,Riyadh,48000.0
Toyota,Camry,2020,Saudi,Silver,Standard,2.5,Hybrid,Automatic,46000.0,Riyadh,75000.0
Lexus,ES,2015,Saudi,White,Full,3.5,Gas,Automatic,85000.0,Riyadh,80000.0
Toyota,Land Cruiser,1993,Saudi,Bronze,Semi Full,3.5,Gas,Manual,400.0,Tabouk,12000.0
Kia,Cadenza,2017,Saudi,Another Color,Standard,3.5,Gas,Automatic,115000.0,Riyadh,55000.0
Hyundai,Tucson,2016,Saudi,White,Semi Full,2.0,Gas,Automatic,157000.0,Riyadh,50000.0
Hyundai,Tucson,2019,Saudi,Silver,Semi Full,2.0,Gas,Automatic,24000.0,Riyadh,68000.0
Genesis,Platinum,2015,Saudi,Another Color,Semi Full,3.5,Gas,Automatic,181000.0,Riyadh,70000.0
Genesis,G80,2019,Saudi,White,Semi Full,3.8,Gas,Automatic,84000.0,Riyadh,120000.0
Toyota,Prado,2016,Saudi,White,Semi Full,4.0,Gas,Automatic,201000.0,Riyadh,108000.0
GMC,Yukon,2009,Saudi,Golden,Standard,5.3,Gas,Automatic,395000.0,Riyadh,43000.0
Toyota,Rav4,2016,Saudi,White,Full,2.5,Gas,Automatic,363000.0,Riyadh,58000.0
Hyundai,Accent,2020,Saudi,Another Color,Standard,1.4,Gas,Automatic,2000.0,Riyadh,42000.0
Lexus,ES,2013,Saudi,Black,Full,3.5,Gas,Automatic,349000.0,Riyadh,70000.0
Hyundai,Sonata,2019,Saudi,Grey,Semi Full,2.4,Gas,Automatic,78000.0,Riyadh,62000.0
Genesis,G80,2018,Saudi,Another Color,Semi Full,3.8,Gas,Automatic,75000.0,Riyadh,110000.0
Honda,Accord,2016,Saudi,Another Color,Full,3.5,Gas,Automatic,350000.0,Riyadh,50000.0
Genesis,G80,2018,Saudi,Another Color,Semi Full,3.8,Gas,Automatic,127000.0,Riyadh,93000.0
Lexus,LX,2015,Saudi,White,Full,5.7,Gas,Automatic,247000.0,Riyadh,165000.0
Nissan,Patrol,2012,Saudi,White,Semi Full,5.6,Gas,Automatic,381000.0,Riyadh,75000.0
GMC,Yukon,2008,Saudi,Another Color,Full,5.3,Gas,Automatic,382000.0,Riyadh,45000.0
Lexus,GX,2015,Saudi,White,Full,4.6,Gas,Automatic,146000.0,Riyadh,126000.0
Nissan,Sunny,2019,Saudi,Silver,Standard,1.5,Gas,Automatic,87537.0,Riyadh,26800.0
Nissan,Sunny,2019,Saudi,White,Standard,1.5,Gas,Automatic,99104.0,Riyadh,26800.0
Nissan,Sunny,2019,Saudi,Grey,Standard,1.5,Gas,Automatic,106007.0,Riyadh,26800.0
Nissan,Sunny,2019,Saudi,Silver,Standard,1.5,Gas,Automatic,88564.0,Riyadh,26800.0
Hyundai,Azera,2016,Saudi,Grey,Semi Full,3.5,Gas,Automatic,166000.0,Riyadh,47000.0
Honda,Accord,2015,Saudi,Golden,Semi Full,2.4,Gas,Automatic,196000.0,Riyadh,59000.0
Genesis,G80,2018,Saudi,Silver,Semi Full,3.8,Gas,Automatic,70000.0,Riyadh,110000.0
Chevrolet,Tahoe,2014,Saudi,Brown,Semi Full,5.3,Gas,Automatic,382000.0,Riyadh,60000.0
Cadillac,CT-S,2010,Saudi,Another Color,Full,3.6,Gas,Automatic,240000.0,Riyadh,32000.0
Toyota,Prado,2013,Saudi,Another Color,Full,3.8,Gas,Automatic,108000.0,Riyadh,87000.0
Geely,EC7,2014,Saudi,Golden,Full,1.4,Gas,Manual,161300.0,Riyadh,12000.0
MG,ZS,2019,Saudi,Black,Semi Full,1.5,Gas,Automatic,23000.0,Riyadh,47000.0
Hyundai,Kona,2019,Saudi,Blue,Standard,2.0,Gas,Automatic,19000.0,Riyadh,59000.0
Jeep,Grand Cherokee,2014,Saudi,Black,Full,5.7,Gas,Automatic,120000.0,Riyadh,85000.0
GMC,Yukon,2016,Gulf Arabic,White,Semi Full,5.3,Gas,Automatic,63000.0,Riyadh,140000.0
Honda,Accord,2015,Gulf Arabic,Grey,Standard,2.4,Gas,Automatic,221000.0,Riyadh,48000.0
Mercedes,S,2006,Other,White,Semi Full,4.3,Gas,Automatic,235115.0,Riyadh,15000.0
INFINITI,M,2007,Saudi,Black,Full,4.5,Gas,Automatic,303000.0,Riyadh,10000.0
Dodge,Charger,2018,Saudi,Another Color,Full,5.7,Gas,Automatic,85000.0,Aseer,130000.0
Ford,Taurus,2018,Saudi,White,Standard,2.0,Gas,Automatic,82000.0,Riyadh,77000.0
Mercedes,E,2014,Gulf Arabic,White,Standard,2.0,Gas,Automatic,49000.0,Dammam,75000.0
Nissan,Sunny,2019,Saudi,Silver,Standard,1.5,Gas,Automatic,105739.0,Riyadh,26800.0
Nissan,Sunny,2019,Saudi,White,Standard,1.5,Gas,Automatic,55526.0,Riyadh,27500.0
Nissan,Sunny,2019,Saudi,Silver,Standard,1.5,Gas,Automatic,98659.0,Riyadh,27500.0
Nissan,Sunny,2019,Saudi,Silver,Standard,1.5,Gas,Automatic,95623.0,Riyadh,27500.0
Hyundai,Elantra,2019,Saudi,Grey,Semi Full,1.6,Gas,Automatic,86000.0,Dammam,54000.0
Toyota,Yaris,2018,Saudi,White,Standard,1.5,Gas,Automatic,128000.0,Jeddah,32000.0
Nissan,Patrol,1992,Saudi,White,Standard,4.6,Gas,Manual,357000.0,Dammam,27000.0
Hyundai,Accent,2019,Saudi,White,Standard,1.4,Gas,Automatic,101000.0,Jeddah,37000.0
Mazda,CX9,2017,Other,Grey,Full,2.5,Gas,Automatic,93000.0,Dammam,111000.0
Genesis,Royal,2015,Saudi,Red,Full,3.8,Gas,Automatic,194000.0,Riyadh,85000.0
Toyota,Corolla,2015,Saudi,Silver,Standard,1.6,Gas,Automatic,176277.0,Dammam,37000.0
Kia,Picanto,2015,Saudi,Another Color,Standard,1.0,Gas,Automatic,133000.0,Al-Medina,18500.0
Great Wall,Power,2021,Saudi,White,Full,2.0,Gas,Automatic,4000.0,Al-Medina,95000.0
Nissan,Datsun,2015,Saudi,White,Full,2.4,Gas,Manual,212000.0,Riyadh,42000.0
Jaguar,F-Pace,2018,Saudi,White,Full,2.5,Gas,Automatic,70000.0,Jeddah,145000.0
Toyota,Hilux,2016,Saudi,White,Full,2.7,Gas,Manual,28000.0,Dammam,95000.0
Toyota,Furniture,2019,Saudi,White,Standard,2.7,Gas,Automatic,113000.0,Riyadh,105000.0
Ford,Expedition,2016,Saudi,White,Full,3.5,Gas,Automatic,104000.0,Dammam,95000.0
Honda,Accord,2019,Gulf Arabic,Silver,Full,1.5,Gas,Automatic,8200.0,Dammam,107000.0
Chevrolet,Suburban,2001,Other,Grey,Semi Full,1.5,Gas,Automatic,500000.0,Riyadh,15000.0
Ford,Explorer,2016,Gulf Arabic,Red,Full,3.5,Gas,Automatic,93000.0,Riyadh,95000.0
Hyundai,Elantra,2019,Saudi,White,Standard,1.6,Gas,Automatic,120496.0,Riyadh,40800.0
Hyundai,Elantra,2019,Saudi,Silver,Standard,1.6,Gas,Automatic,120244.0,Riyadh,43000.0
Hyundai,Accent,2014,Saudi,Black,Standard,1.4,Gas,Automatic,101231.0,Riyadh,21500.0
Nissan,Sunny,2017,Saudi,White,Standard,1.5,Gas,Automatic,106646.0,Riyadh,22500.0
Ford,Expedition,2017,Gulf Arabic,White,Full,3.5,Gas,Automatic,34000.0,Riyadh,108000.0
Land Rover,Range Rover,2009,Saudi,Black,Full,2.4,Gas,Automatic,195000.0,Jeddah,45000.0
Hyundai,Elantra,2018,Saudi,Brown,Semi Full,1.6,Gas,Automatic,81000.0,Riyadh,44000.0
Hyundai,Sonata,2018,Saudi,Silver,Semi Full,2.4,Gas,Automatic,99000.0,Riyadh,62000.0
Dodge,Charger,2016,Saudi,Grey,Standard,1.0,Gas,Automatic,151000.0,Riyadh,69000.0
Kia,Cadenza,2018,Saudi,Brown,Standard,1.0,Gas,Automatic,74000.0,Riyadh,60000.0
Toyota,Furniture,2019,Saudi,White,Full,3.5,Gas,Automatic,40000.0,Riyadh,120000.0
Hyundai,Accent,2018,Saudi,White,Standard,1.4,Gas,Automatic,78000.0,Riyadh,36000.0
Hyundai,Sonata,2013,Saudi,White,Full,2.4,Gas,Automatic,205000.0,Riyadh,40000.0
Toyota,FJ,2013,Saudi,Bronze,Full,1.0,Gas,Automatic,296000.0,Riyadh,79000.0
Kia,Cadenza,2017,Saudi,Grey,Full,3.5,Gas,Automatic,179000.0,Riyadh,73000.0
Hyundai,Elantra,2018,Saudi,White,Semi Full,2.0,Gas,Automatic,88000.0,Riyadh,44000.0
