Make,Type,Year,Origin,Color,Options,Engine_Size,Fuel_Type,Gear_Type,Mileage,Region,Price,Car_Age,Mileage_per_Year
Chrysler,C300,2018,Saudi,Black,Full,5.7,Gas,Automatic,103000,Riyadh,114000.0,7,12875.0
Nissan,Sunny,2019,Saudi,Silver,Standard,1.5,Gas,Automatic,72418,Riyadh,27500.0,6,10345.42857142857
Hyundai,Elantra,2019,Saudi,Grey,Standard,1.6,Gas,Automatic,114154,Riyadh,43000.0,6,16307.714285714286
Hyundai,Elantra,2019,Saudi,Silver,Semi Full,2.0,Gas,Automatic,41912,Riyadh,59500.0,6,5987.428571428572
Honda,Accord,2018,Saudi,Navy,Full,1.5,Gas,Automatic,39000,Riyadh,72000.0,7,4875.0
Toyota,Land Cruiser,2011,Saudi,White,Semi Full,4.5,Gas,Automatic,183000,Riyadh,92000.0,14,12200.0
Chevrolet,Impala,2019,Saudi,Black,Standard,3.6,Gas,Automatic,70000,Riyadh,80000.0,6,10000.0
Toyota,Yaris,2018,Saudi,White,Standard,1.5,Gas,Automatic,131000,Jeddah,32000.0,7,16375.0
Toyota,Camry,2017,Gulf Arabic,White,Standard,2.5,Gas,Automatic,107000,Dammam,50000.0,8,11888.888888888889
Nissan,Patrol,2014,Saudi,White,Full,5.6,Gas,Automatic,106000,Dammam,135000.0,11,8833.333333333334
Chevrolet,Tahoe,2018,Other,Grey,Semi Full,5.3,Gas,Automatic,176140,Riyadh,153000.0,7,22017.5
Hyundai,Accent,2019,Saudi,White,Standard,1.4,Gas,Automatic,83000,Jeddah,37000.0,6,11857.142857142857
Toyota,Corolla,2018,Saudi,White,Standard,1.6,Gas,Automatic,7702,Dammam,45000.0,7,962.75
MINI,Copper,2016,Gulf Arabic,Grey,Full,2.0,Gas,Automatic,110000,Dammam,83000.0,9,11000.0
Nissan,Sunny,2017,Saudi,White,Standard,1.5,Gas,Automatic,58000,Al-Medina,24500.0,8,6444.444444444444
Nissan,Patrol,2016,Saudi,White,Standard,4.8,Gas,Automatic,93000,Jeddah,83000.0,9,9300.0
Toyota,Prado,2021,Saudi,White,Semi Full,4.0,Gas,Automatic,3000,Dammam,174000.0,4,600.0
Hyundai,Elantra,2018,Other,White,Standard,1.6,Diesel,Automatic,83000,Riyadh,50000.0,7,10375.0
Honda,Civic,2017,Saudi,Black,Standard,1.5,Gas,Automatic,200000,Jeddah,38000.0,8,22222.222222222223
Toyota,Furniture,2021,Saudi,White,Semi Full,2.4,Diesel,Automatic,29000,Qassim,145000.0,4,5800.0
Lexus,RX,2019,Saudi,Bronze,Full,3.5,Gas,Automatic,129000,Jeddah,178000.0,6,18428.571428571428
GMC,Yukon,2017,Saudi,Silver,Standard,5.3,Gas,Automatic,137317,Dammam,130000.0,8,15257.444444444445
Nissan,Bus Urvan,2020,Saudi,White,Standard,3.5,Gas,Manual,27000,Riyadh,68000.0,5,4500.0
Toyota,Aurion,2015,Saudi,White,Semi Full,2.6,Gas,Automatic,300,Jazan,50000.0,10,27.272727272727273
Nissan,Sunny,2019,Saudi,White,Standard,1.5,Gas,Automatic,112963,Riyadh,27500.0,6,16137.57142857143
Hyundai,Elantra,2019,Saudi,Silver,Standard,1.6,Gas,Automatic,108650,Riyadh,43000.0,6,15521.42857142857
Chevrolet,Malibu,2013,Saudi,Black,Semi Full,3.0,Gas,Automatic,122455,Riyadh,36000.0,12,9419.615384615385
Nissan,Sunny,2019,Saudi,Silver,Standard,1.5,Gas,Automatic,93762,Riyadh,26800.0,6,13394.57142857143
Toyota,Rav4,2020,Gulf Arabic,White,Full,2.5,Gas,Automatic,15000,Dammam,111000.0,5,2500.0
Mazda,CX9,2019,Saudi,Another Color,Full,2.5,Gas,Automatic,89000,Riyadh,99000.0,6,12714.285714285714
Ford,Expedition,2013,Saudi,Black,Standard,5.4,Gas,Automatic,348000,Riyadh,50000.0,12,26769.23076923077
GMC,Yukon,2008,Saudi,Golden,Full,5.3,Gas,Automatic,286000,Riyadh,48000.0,17,15888.888888888889
Toyota,Camry,2020,Saudi,Silver,Standard,2.5,Hybrid,Automatic,46000,Riyadh,75000.0,5,7666.666666666667
Lexus,ES,2015,Saudi,White,Full,3.5,Gas,Automatic,85000,Riyadh,80000.0,10,7727.272727272727
Kia,Cadenza,2017,Saudi,Another Color,Standard,3.5,Gas,Automatic,115000,Riyadh,55000.0,8,12777.777777777777
Hyundai,Tucson,2016,Saudi,White,Semi Full,2.0,Gas,Automatic,157000,Riyadh,50000.0,9,15700.0
Hyundai,Tucson,2019,Saudi,Silver,Semi Full,2.0,Gas,Automatic,24000,Riyadh,68000.0,6,3428.5714285714284
Genesis,Platinum,2015,Saudi,Another Color,Semi Full,3.5,Gas,Automatic,181000,Riyadh,70000.0,10,16454.545454545456
Genesis,G80,2019,Saudi,White,Semi Full,3.8,Gas,Automatic,84000,Riyadh,120000.0,6,12000.0
Toyota,Prado,2016,Saudi,White,Semi Full,4.0,Gas,Automatic,201000,Riyadh,108000.0,9,20100.0
Toyota,Rav4,2016,Saudi,White,Full,2.5,Gas,Automatic,363000,Riyadh,58000.0,9,36300.0
Hyundai,Accent,2020,Saudi,Another Color,Standard,1.4,Gas,Automatic,2000,Riyadh,42000.0,5,333.3333333333333
Lexus,ES,2013,Saudi,Black,Full,3.5,Gas,Automatic,349000,Riyadh,70000.0,12,26846.153846153848
Hyundai,Sonata,2019,Saudi,Grey,Semi Full,2.4,Gas,Automatic,78000,Riyadh,62000.0,6,11142.857142857143
Genesis,G80,2018,Saudi,Another Color,Semi Full,3.8,Gas,Automatic,75000,Riyadh,110000.0,7,9375.0
Honda,Accord,2016,Saudi,Another Color,Full,3.5,Gas,Automatic,350000,Riyadh,50000.0,9,35000.0
Genesis,G80,2018,Saudi,Another Color,Semi Full,3.8,Gas,Automatic,127000,Riyadh,93000.0,7,15875.0
Lexus,LX,2015,Saudi,White,Full,5.7,Gas,Automatic,247000,Riyadh,165000.0,10,22454.545454545456
Lexus,GX,2015,Saudi,White,Full,4.6,Gas,Automatic,146000,Riyadh,126000.0,10,13272.727272727272
Nissan,Sunny,2019,Saudi,Silver,Standard,1.5,Gas,Automatic,87537,Riyadh,26800.0,6,12505.285714285714
Nissan,Sunny,2019,Saudi,White,Standard,1.5,Gas,Automatic,99104,Riyadh,26800.0,6,14157.714285714286
Nissan,Sunny,2019,Saudi,Grey,Standard,1.5,Gas,Automatic,106007,Riyadh,26800.0,6,15143.857142857143
Nissan,Sunny,2019,Saudi,Silver,Standard,1.5,Gas,Automatic,88564,Riyadh,26800.0,6,12652.0
Hyundai,Azera,2016,Saudi,Grey,Semi Full,3.5,Gas,Automatic,166000,Riyadh,47000.0,9,16600.0
Honda,Accord,2015,Saudi,Golden,Semi Full,2.4,Gas,Automatic,196000,Riyadh,59000.0,10,17818.18181818182
Genesis,G80,2018,Saudi,Silver,Semi Full,3.8,Gas,Automatic,70000,Riyadh,110000.0,7,8750.0
Cadillac,CT-S,2010,Saudi,Another Color,Full,3.6,Gas,Automatic,240000,Riyadh,32000.0,15,15000.0
Toyota,Prado,2013,Saudi,Another Color,Full,3.8,Gas,Automatic,108000,Riyadh,87000.0,12,8307.692307692309
Geely,EC7,2014,Saudi,Golden,Full,1.4,Gas,Manual,161300,Riyadh,12000.0,11,13441.666666666666
MG,ZS,2019,Saudi,Black,Semi Full,1.5,Gas,Automatic,23000,Riyadh,47000.0,6,3285.714285714286
Hyundai,Kona,2019,Saudi,Blue,Standard,2.0,Gas,Automatic,19000,Riyadh,59000.0,6,2714.285714285714
Jeep,Grand Cherokee,2014,Saudi,Black,Full,5.7,Gas,Automatic,120000,Riyadh,85000.0,11,10000.0
GMC,Yukon,2016,Gulf Arabic,White,Semi Full,5.3,Gas,Automatic,63000,Riyadh,140000.0,9,6300.0
Honda,Accord,2015,Gulf Arabic,Grey,Standard,2.4,Gas,Automatic,221000,Riyadh,48000.0,10,20090.909090909092
Mercedes,S,2006,Other,White,Semi Full,4.3,Gas,Automatic,235115,Riyadh,15000.0,19,11755.75
INFINITI,M,2007,Saudi,Black,Full,4.5,Gas,Automatic,303000,Riyadh,10000.0,18,15947.368421052632
Dodge,Charger,2018,Saudi,Another Color,Full,5.7,Gas,Automatic,85000,Aseer,130000.0,7,10625.0
Ford,Taurus,2018,Saudi,White,Standard,2.0,Gas,Automatic,82000,Riyadh,77000.0,7,10250.0
Mercedes,E,2014,Gulf Arabic,White,Standard,2.0,Gas,Automatic,49000,Dammam,75000.0,11,4083.3333333333335
Nissan,Sunny,2019,Saudi,Silver,Standard,1.5,Gas,Automatic,105739,Riyadh,26800.0,6,15105.57142857143
Nissan,Sunny,2019,Saudi,White,Standard,1.5,Gas,Automatic,55526,Riyadh,27500.0,6,7932.285714285715
Nissan,Sunny,2019,Saudi,Silver,Standard,1.5,Gas,Automatic,98659,Riyadh,27500.0,6,14094.142857142857
Nissan,Sunny,2019,Saudi,Silver,Standard,1.5,Gas,Automatic,95623,Riyadh,27500.0,6,13660.42857142857
Hyundai,Elantra,2019,Saudi,Grey,Semi Full,1.6,Gas,Automatic,86000,Dammam,54000.0,6,12285.714285714286
Toyota,Yaris,2018,Saudi,White,Standard,1.5,Gas,Automatic,128000,Jeddah,32000.0,7,16000.0
Hyundai,Accent,2019,Saudi,White,Standard,1.4,Gas,Automatic,101000,Jeddah,37000.0,6,14428.57142857143
Mazda,CX9,2017,Other,Grey,Full,2.5,Gas,Automatic,93000,Dammam,111000.0,8,10333.333333333334
Genesis,Royal,2015,Saudi,Red,Full,3.8,Gas,Automatic,194000,Riyadh,85000.0,10,17636.363636363636
Toyota,Corolla,2015,Saudi,Silver,Standard,1.6,Gas,Automatic,176277,Dammam,37000.0,10,16025.181818181818
Kia,Picanto,2015,Saudi,Another Color,Standard,1.0,Gas,Automatic,133000,Al-Medina,18500.0,10,12090.90909090909
Great Wall,Power,2021,Saudi,White,Full,2.0,Gas,Automatic,4000,Al-Medina,95000.0,4,800.0
Nissan,Datsun,2015,Saudi,White,Full,2.4,Gas,Manual,212000,Riyadh,42000.0,10,19272.727272727272
Jaguar,F-Pace,2018,Saudi,White,Full,2.5,Gas,Automatic,70000,Jeddah,145000.0,7,8750.0
Toyota,Hilux,2016,Saudi,White,Full,2.7,Gas,Manual,28000,Dammam,95000.0,9,2800.0
Toyota,Furniture,2019,Saudi,White,Standard,2.7,Gas,Automatic,113000,Riyadh,105000.0,6,16142.857142857143
Ford,Expedition,2016,Saudi,White,Full,3.5,Gas,Automatic,104000,Dammam,95000.0,9,10400.0
